,kziht8,kziht_rr8,kziht9,kziht_rr9,kziht10,kziht_rr10
152,0.002563027152620508,0.00030949181676087113,0.1431491056752368,0.1068007070910113,0.4589277631336712,0.4588911562983567
153,0.002497252181570341,0.000298114106832908,0.1426984840652738,0.10639754522585383,0.4589264106177412,0.4588911049770332
154,0.002432801247343754,0.00028726985295503553,0.14225178950948786,0.10599720554150871,0.4589251736227319,0.4588910564974785
155,0.002368754773836017,0.0002769046202778316,0.14180644956236063,0.10560454971079411,0.45892391709479013,0.45889101135146565
156,0.0023113323656863,0.00026681042939307115,0.14136600930887566,0.10522001288128331,0.45892274196269456,0.45889096859487266
157,0.002252360319012197,0.00025713272817008063,0.1409166683947709,0.10483240105468176,0.4589216571571654,0.4588909273528591
158,0.0021963709343256867,0.0002477079562908104,0.14045607140193395,0.10444639685983523,0.4589206059909177,0.4588908889539858
159,0.0021410384421580394,0.00023875023422527584,0.14002807541481968,0.10406387278961522,0.4589195313781089,0.45889085188595996
160,0.0020861784954910112,0.00023001521237160953,0.13958324471071534,0.10368893568734887,0.4589185180519061,0.458890817659068
161,0.002033205794483351,0.0002217602649001079,0.13915650844015257,0.10331396499120667,0.45891751009745485,0.458890785212793
162,0.0019818008824432224,0.00021366656632643057,0.1387159930665241,0.10294774294291835,0.45891653516707864,0.45889075456177286
163,0.0019303899667777562,0.00020596089267979333,0.1382925599766869,0.1025864240157612,0.4589156009294463,0.45889072475739656
164,0.0018827760259312605,0.0001985032131293795,0.13786789509021696,0.10221831302805391,0.4589147132810144,0.4588906973897223
165,0.0018343354020952842,0.00019128477409262968,0.13744205058066475,0.10185306666056618,0.45891386979317994,0.4588906712562399
166,0.001788888036664223,0.00018439127306177933,0.1370266593126629,0.1014970394395974,0.45891305665677545,0.45889064641048793
167,0.0017437015808062467,0.00017774053284101964,0.13662094683659548,0.10114194474510696,0.4589122222020747,0.4588906234239751
168,0.0017002349278092317,0.00017133911523777652,0.1362185376464588,0.10078546361257482,0.45891145325708943,0.4588906019206558
