,kziht4,kziht_rr4,kziht5,kziht_rr5,kziht6,kziht_rr6,kziht7,kziht_rr7
40,1.4317462238621933e-05,6.424609726669432e-08,0.00013281537170767708,2.4712173594544286e-06,0.001297916460703754,8.014363165978525e-05,0.010520761977727977,0.001962957582538799
41,1.1352604944124226e-05,4.510422486787631e-08,0.00011092255530160066,1.8918087034364752e-06,0.0011484428384615898,6.68823535912032e-05,0.009755223513587742,0.0017627617176603722
42,9.014317961111949e-06,3.172432858497577e-08,9.294853276003141e-05,1.450998396059591e-06,0.0010156151123783624,5.579083332037808e-05,0.009051286181613855,0.0015841021484023804
43,7.151939786575763e-06,2.2302957730702528e-08,7.78616007719984e-05,1.1127481018071822e-06,0.0008977047473190436,4.6633395828281745e-05,0.008398114525707533,0.00142353971780419
44,5.686002854784167e-06,1.5682453961186482e-08,6.534400610457319e-05,8.536936897066583e-07,0.0007940163424386282,3.8953293184439194e-05,0.0077874226690189865,0.0012802150877930024
45,4.504930142689479e-06,1.1031922328678531e-08,5.474538804163701e-05,6.552553656318499e-07,0.0007031520096624372,3.25407380204124e-05,0.007226081886223926,0.0011512383762090068
46,3.5679228563428655e-06,7.765640255633047e-09,4.586978284138439e-05,5.035472163661544e-07,0.0006227497416573604,2.7212573335864573e-05,0.006712067719935273,0.0010360989530948702
47,2.8444065601721225e-06,5.479154982458207e-09,3.853376247616002e-05,3.869947215517344e-07,0.0005520080702471745,2.2760089895025518e-05,0.006237146085250808,0.0009328778175901199
48,2.2587061405811225e-06,3.861040016423211e-09,3.23380374285301e-05,2.9760524404517257e-07,0.0004885326907420799,1.903947166179971e-05,0.005796315831122053,0.0008399767569173736
49,1.8041276161840853e-06,2.7231769174027125e-09,2.710342111801945e-05,2.2880597192462118e-07,0.0004331021850367172,1.5940513614214446e-05,0.00539027653584562,0.000756417339867496
50,1.440518206075805e-06,1.9197427630491926e-09,2.2724206829663928e-05,1.757059364195187e-07,0.00038380487819243865,1.3353715538763175e-05,0.005017533754996432,0.0006811953761263632
51,1.1442280065925715e-06,1.3540047858381858e-09,1.9104567071448255e-05,1.353026285691391e-07,0.00034080101626038833,1.1189304410957913e-05,0.004665472942408991,0.0006139723627160953
52,9.141515870688167e-07,9.550741832928994e-10,1.6054032501697665e-05,1.0420888531661228e-07,0.0003021525336437569,9.374841200729169e-06,0.004337822013517321,0.0005531529674425296
53,7.288339623232626e-07,6.738280714946213e-10,1.3480740326939609e-05,8.024630701428488e-08,0.00026810186430135604,7.864475173907293e-06,0.004037137250499114,0.0004985758451003927
54,5.810540193917106e-07,4.762060857654213e-10,1.1337425392991757e-05,6.182793478351155e-08,0.00023794635070508222,6.595858579681702e-06,0.003755942755992509,0.0004495058446941267
55,4.6352265973793486e-07,3.3653362873273864e-10,9.536103191557378e-06,4.7632085109130583e-08,0.00021170014307963077,5.531009710458135e-06,0.003499577085756791,0.00040537706871444804
56,3.6859024929009597e-07,2.3765911310115885e-10,8.014098668966255e-06,3.6706679239411896e-08,0.00018817672074757493,4.639402154944182e-06,0.003257297881978356,0.0003657014595097953
57,2.9430381043798055e-07,1.680604836279526e-10,6.733049881346439e-06,2.82963894557021e-08,0.00016711718477056156,3.8952678265942256e-06,0.0030338947549277207,0.00032984573046073546
58,2.3473977877958065e-07,1.1894727758823536e-10,5.673693399303172e-06,2.1830378480971e-08,0.0001485086719584031,3.270365912451738e-06,0.0028260002380871684,0.00029781640992216
59,1.8689142491561205e-07,8.405897694086697e-11,4.772189156275561e-06,1.6823567015706677e-08,0.0001319550879477153,2.7463421619556503e-06,0.0026333684733346762,0.000268919696816002
60,1.492497155877937e-07,5.94618331606559e-11,4.016654306275908e-06,1.2991584087431917e-08,0.00011737169104086105,2.305192916881536e-06,0.002453448111536015,0.00024292270388724769
61,1.1901863371172031e-07,4.207456306728473e-11,3.3777316096642505e-06,1.0014469834696923e-08,0.00010444411803050736,1.9353395246190482e-06,0.0022870595144768484,0.0002194032187364313
62,9.514832887937551e-08,2.9762400620393484e-11,2.8391837526101163e-06,7.728393431712283e-09,9.277445684712097e-05,1.6272063232047546e-06,0.002131716277498521,0.00019824862513878762
63,7.600846652516856e-08,2.108715004980939e-11,2.3919342139694193e-06,5.9660785434842426e-09,8.253529763058674e-05,1.3677191944451868e-06,0.0019852796455173084,0.0001790486304627853
64,6.070410846022036e-08,1.492663530051801e-11,2.01662645676804e-06,4.612458802978484e-09,7.334209141767426e-05,1.1506361188206502e-06,0.001850711966087999,0.0001618283915710518
65,4.844613321325141e-08,1.0551011272186023e-11,1.702070409514992e-06,3.5607205004601253e-09,6.532344318163703e-05,9.672869588445202e-07,0.0017244769635673604,0.00014630005563942707
66,3.86591600406185e-08,7.480578626880676e-12,1.434842514042001e-06,2.7496740387516627e-09,5.8147567869402215e-05,8.131510042845648e-07,0.001608422147008415,0.0001322654971621951
67,3.0929128138778096e-08,5.304700396383585e-12,1.2072630156657743e-06,2.124436061834292e-09,5.175755644182418e-05,6.840180943837899e-07,0.0015022414377977797,0.00011957693165676983
68,2.4767339024695178e-08,3.758042446457779e-12,1.0183651978688493e-06,1.642471259736235e-09,4.602712269050246e-05,5.752282690138666e-07,0.0014011250964007472,0.00010813857501319021
69,1.9791064644569043e-08,2.6610964520440816e-12,8.571218871027318e-07,1.2700834262620035e-09,4.1000492466059625e-05,4.83837091031734e-07,0.0013085762804991535,9.780438390521994e-05
70,1.5825893787316914e-08,1.8860496881446236e-12,7.221363200427575e-07,9.829901413128131e-10,3.6517604661763574e-05,4.076077416434438e-07,0.0012210401464608975,8.850269521646313e-05
71,1.264803652812885e-08,1.3379496734261275e-12,6.091561253823352e-07,7.5932059275535e-10,3.2527952007706224e-05,3.4325177575574205e-07,0.0011391854997093262,8.008566987238332e-05
72,1.0106481215217346e-08,9.482041503727583e-13,5.142285302959758e-07,5.877387770454022e-10,2.8944742192727466e-05,2.891089750014571e-07,0.0010641443111587157,7.246658645880062e-05
73,8.058803913601374e-09,6.727794279653195e-13,4.350091814175439e-07,4.5393492724821267e-10,2.5743892635522668e-05,2.4345543768672895e-07,0.0009935435615408867,6.558938735613459e-05
74,6.440596576578692e-09,4.765822669708863e-13,3.6727121098108224e-07,3.508634364960743e-10,2.293818965664569e-05,2.0513413792691354e-07,0.0009279398686177206,5.9380661110555735e-05
75,5.170756317063689e-09,3.3779720495949145e-13,3.096936605797328e-07,2.714574407634404e-10,2.0430490233616437e-05,1.7299459065338966e-07,0.0008666388824767524,5.376288918152306e-05
76,4.151374693901556e-09,2.398110384409822e-13,2.619034894665378e-07,2.1017530820781581e-10,1.8175031395713152e-05,1.4571285485874869e-07,0.0008096905739989568,4.868036262170426e-05
77,3.3276267224521404e-09,1.7005999196507718e-13,2.2072949156300927e-07,1.6285339251870186e-10,1.6209435618856478e-05,1.228582894615888e-07,0.0007565897725197406,4.4100390320339344e-05
78,2.6685693392047572e-09,1.208472705317513e-13,1.861881546495752e-07,1.2598133514540405e-10,1.4434380447488967e-05,1.0355438214535825e-07,0.0007077417450614817,3.994683606724246e-05
79,2.131895945621945e-09,8.569316132129028e-14,1.572614402081369e-07,9.752882080440542e-11,1.2846690623023866e-05,8.72692615277233e-08,0.0006616384790825909,3.619008218811365e-05
80,1.7011904778033334e-09,6.085121042409603e-14,1.3300574028579538e-07,7.554248661984979e-11,1.1459652262096888e-05,7.366336711008477e-08,0.0006185322650946265,3.2803521775988685e-05
81,1.3648570758909724e-09,4.3246303931459285e-14,1.1248357139034864e-07,5.848326669852798e-11,1.0233140680762807e-05,6.215791440858073e-08,0.0005783797164395704,2.9727034448969697e-05
82,1.0917371477671466e-09,3.0787964529403513e-14,9.489342030112691e-08,4.527544310229082e-11,9.136024734439566e-06,5.250041100188813e-08,0.0005408741841871167,2.693426082118951e-05
83,8.738420521188061e-10,2.1942110983321702e-14,8.005539271740778e-08,3.5044776409941154e-11,8.159725365510049e-06,4.426471826247812e-08,0.000506062715180566,2.441964842092246e-05
84,7.012060783681695e-10,1.5669797524530718e-14,6.763085836210855e-08,2.7115574256419915e-11,7.267652470926058e-06,3.730573677267999e-08,0.0004734492563032627,2.2141373020014657e-05
85,5.619727774751723e-10,1.1341468555410729e-14,5.711139753472726e-08,2.1047258241923838e-11,6.477844629396814e-06,3.148289974598894e-08,0.000442968867021976,2.0071430934004665e-05
86,4.497423706443102e-10,8.30089745942029e-15,4.837144524436215e-08,1.6291310792193777e-11,5.780144024647375e-06,2.6583353685507844e-08,0.0004145597587145037,1.8194643140520074e-05
87,3.6056837983668585e-10,6.183347559406356e-15,4.0969980729312496e-08,1.2622556697430433e-11,5.154488343870917e-06,2.242584287346303e-08,0.000387859778486196,1.6493028184698857e-05
88,2.8982956833494904e-10,4.732407058308157e-15,3.460491468462324e-08,9.790717052556636e-12,4.606043197751805e-06,1.8945511792261517e-08,0.0003625529607387107,1.4957185061092992e-05
89,2.3244484169447628e-10,3.696439823039026e-15,2.9231952236356876e-08,7.58522020401333e-12,4.111171835319057e-06,1.6005530968531972e-08,0.0003390809882618362,1.3565153385155136e-05
90,1.8633070820435545e-10,3.0469216621328917e-15,2.4695148351828672e-08,5.88507772317055e-12,3.6748250869851596e-06,1.351936027180309e-08,0.0003171354181336985,1.2303858633742815e-05
91,1.4925348563925297e-10,2.540828454640398e-15,2.089981238653533e-08,4.5657074106623545e-12,3.278818536369709e-06,1.1420875750445223e-08,0.0002967902974320375,1.1165220397818259e-05
92,1.1960892479785472e-10,2.333525963513191e-15,1.7694186300614987e-08,3.5388706951137523e-12,2.9198185831287415e-06,9.657115616838443e-09,0.0002778276466434346,1.0131439913347075e-05
93,9.56862985029206e-11,2.2312963651199266e-15,1.4972037038830077e-08,2.7484125604636003e-12,2.603792994976943e-06,8.156505894504445e-09,0.00025987391390633547,9.187901179517293e-06
94,7.693416642333094e-11,2.085664663552577e-15,1.2670073102636576e-08,2.1322135944928923e-12,2.3245855800005395e-06,6.898685801050382e-09,0.0002431366063220668,8.340578157408833e-06
95,6.18260128275021e-11,2.010920324148641e-15,1.076742526877472e-08,1.6531978932247505e-12,2.076647432599977e-06,5.83071471176899e-09,0.00022753753054323956,7.571627511960403e-06
96,4.953031201424661e-11,1.9665971566631647e-15,9.085040849161453e-09,1.2826411054774661e-12,1.8544460460416577e-06,4.928392198357321e-09,0.00021301485183415985,6.874020864353844e-06
97,3.9638883672729946e-11,1.9499931509728554e-15,7.681922376429307e-09,9.932810373999592e-13,1.6575977034657007e-06,4.168594180271054e-09,0.0001993969521859203,6.241454507612646e-06
98,3.171567897089526e-11,1.921696366950695e-15,6.513237803668871e-09,7.712594740149484e-13,1.483957315475367e-06,3.528845001990091e-09,0.00018679623369484617,5.669000481814456e-06
99,2.540746096551818e-11,1.9546712885555275e-15,5.5108308125244834e-09,5.989153243914135e-13,1.3272462184617157e-06,2.986355879003674e-09,0.0001750121731883293,5.148625342867371e-06
100,2.041101167837698e-11,2.04596564350573e-15,4.657304792574975e-09,4.646926001082546e-13,1.1861567797169539e-06,2.5259081987812663e-09,0.0001639104049520703,4.674591551396335e-06
101,1.6426568843805005e-11,2.0046192518606033e-15,3.947598095115985e-09,3.613443150527891e-13,1.0603744000684705e-06,2.1394566347777895e-09,0.00015366112079428783,4.244903954061533e-06
102,1.317842609059961e-11,2.0396131440404058e-15,3.339434688670843e-09,2.8062454937774396e-13,9.473853046291177e-07,1.8106395759109855e-09,0.00014387548099446357,3.854489391198202e-06
103,1.0601752171099457e-11,2.018541141329501e-15,2.8240853492294363e-09,2.1799745217013454e-13,8.472724047889273e-07,1.532142102750559e-09,0.00013483588466668345,3.501507869297398e-06
