,iht5,kziht5,iht10,kziht10,iht20,kziht20,iht50,kziht50,iht100,kziht100,iht150,kziht150,iht200,kziht200,iht250,kziht250
155,0.0,3.2587114450216785e-15,1.526540924975878e-19,2.8143614081286188e-15,2.961626290377048e-19,2.3189617127815435e-15,3.494591314462502e-18,1.8324503314972315e-15,6.16393766526023e+38,1.7174282016263712e-15,1.353507350851934e+52,5.69804147513225e-15,4.426710003108845e+60,4.153477144908568e-12,1.1498489719596568e+65,1.7815355952305217e-09
156,0.0,3.25370767607621e-15,1.526540924975878e-19,2.8114233597995288e-15,2.961626290377048e-19,2.3182208635008257e-15,3.734200299126728e-18,1.8306756224988668e-15,1.1332560362030095e+39,1.7147426695637933e-15,3.065638799662654e+52,4.895135381610055e-15,1.1320386432184658e+61,3.5107198249413854e-12,3.1329902945146164e+65,1.5594909569024269e-09
157,0.0,3.2540274115185117e-15,1.526540924975878e-19,2.8116594518791528e-15,2.961626290377048e-19,2.3163481337016345e-15,3.538434568826044e-18,1.82864965464899e-15,2.083714448143165e+39,1.7074197967493847e-15,6.943908143058573e+52,4.254508931951028e-15,2.8950250219455455e+61,2.9710544790452493e-12,8.537283796424164e+65,1.370202180112691e-09
158,0.0,3.2513593806728255e-15,1.526540924975878e-19,2.809060184498413e-15,2.961626290377048e-19,2.3176969671852208e-15,3.635375450441819e-18,1.823273598286302e-15,3.831669658113138e+39,1.7027965908437185e-15,1.572927682283631e+53,3.762266076119841e-15,7.403786299330722e+61,2.5077046960699165e-12,2.3266002252892255e+66,1.2023618708880154e-09
159,0.0,3.250789423305024e-15,1.526540924975878e-19,2.8072872315934604e-15,2.961626290377048e-19,2.310060880759726e-15,3.3824083480318788e-18,1.821197414056478e-15,7.046556794571444e+39,1.69720385491432e-15,3.563153798180547e+53,3.3605146926232546e-15,1.8935009270364217e+62,2.127793489473289e-12,6.341093750492367e+66,1.053690969423572e-09
160,0.0,3.248940384932759e-15,1.526540924975878e-19,2.8055955107789107e-15,2.961626290377048e-19,2.306088773515641e-15,3.7377895246814655e-18,1.8153129389921373e-15,1.2959977503543651e+40,1.6951343595672656e-15,8.071990721307398e+53,3.041391773040564e-15,4.842692452803077e+62,1.8051125131348801e-12,1.7284067371228665e+67,9.24674696194673e-10
161,0.0,3.2490202359711785e-15,1.526540924975878e-19,2.8066820494747777e-15,2.961626290377048e-19,2.299725923768813e-15,3.4820864501462624e-18,1.817735858471424e-15,2.3837971537677706e+40,1.6928321921060718e-15,1.828716107182444e+54,2.7844028566508906e-15,1.2385616141308284e+63,1.5339508341767417e-12,4.71157518864085e+67,8.125320613991658e-10
162,0.0,3.248613252269044e-15,1.526540924975878e-19,2.805905007850237e-15,2.961626290377048e-19,2.3002283687389847e-15,4.008063499061081e-18,1.8150542134071875e-15,4.385018980772947e+40,1.6863661074183244e-15,4.1431511946835604e+54,2.570683305777771e-15,3.1677971088353548e+63,1.2989431905347097e-12,1.2844693801906387e+68,7.123605528577347e-10
163,0.0,3.2482935715112937e-15,1.526540924975878e-19,2.8069863017717277e-15,2.961626290377048e-19,2.2988061108874392e-15,3.789199762260399e-18,1.811515026383881e-15,8.066964991599768e+40,1.6888721928823478e-15,9.387143610408823e+54,2.4062008984050666e-15,8.102252680722569e+63,1.0981946156620635e-12,3.5020143193358037e+68,6.24425434239519e-10
164,0.0,3.243725785508029e-15,1.526540924975878e-19,2.806818904737759e-15,2.961626290377048e-19,2.2961610240021955e-15,3.618250947967969e-18,1.808085970243074e-15,1.484173840583163e+41,1.6844183290058337e-15,2.1269324012698867e+55,2.2717061914746326e-15,2.0723474568847565e+64,9.316218375791107e-13,9.548776140806377e+68,5.473161476705266e-10
